BindingEnergy,Scan1
461.21000000000004,1627
461.80999999999995,1669
462.45000000000005,1739
463.05999999999995,1656
463.66999999999996,1732
463.67999999999995,1641
464.24,1776
464.84000000000003,1763
465.51,1560
466.14,1581
466.71000000000004,1787
466.71000000000004,1716
467.30999999999995,1611
468.0,1673
468.61,1726
469.15,1722
469.16999999999996,1784
469.74,1759
470.39,1737
471.01,1755
471.53999999999996,1743
472.14,1673
472.15999999999997,1749
472.79999999999995,1847
473.39,1776
473.98,1662
474.53999999999996,1719
474.54999999999995,1717
475.20000000000005,1641
475.79999999999995,1886
476.38,1775
476.97,1834
477.62,1789
477.61,1769
478.22,1759
478.78,1834
479.37,1763
480.02,1662
480.01,1743
480.61,1688
481.21000000000004,1713
481.78999999999996,1805
482.41999999999996,1747
483.03999999999996,1706
483.03,1770
483.61,1698
484.17999999999995,1789
484.80999999999995,1724
485.41999999999996,1658
485.44000000000005,1744
486.02,1697
486.59000000000003,1721
487.25,1648
487.86,1675
488.44000000000005,1700
488.46000000000004,1767
489.03,1833
489.64,1742
490.26,1705
490.83000000000004,1779
490.84000000000003,1645
491.44000000000005,1711
492.04999999999995,1754
492.65999999999997,1770
493.26,1658
493.83000000000004,1750
493.83000000000004,1827
494.48,1788
495.08000000000004,1691
495.65,1650
496.25,1730
496.87,1655
496.86,1658
497.52,1856
498.07000000000005,1764
498.62,1722
499.26,1810
499.26,1812
499.86,1704
500.47,1673
501.03999999999996,1790
501.67999999999995,1763
502.32000000000005,1715
502.32000000000005,1731
502.89,1725
503.48,1705
504.09000000000003,1689
504.72,1742
504.76,1765
505.33000000000004,1718
505.88,1750
506.54999999999995,1605
507.17999999999995,1781
507.77,1743
507.78,1673
508.30999999999995,1796
508.92999999999995,1722
509.6,1797
510.16999999999996,1813
510.15,1668
510.73,1842
511.32000000000005,1755
511.98,1839
512.59,1841
513.12,1946
513.15,1742
513.76,1778
514.37,1696
514.96,1825
515.54,1749
515.52,1698
516.14,1760
516.79,1665
517.37,1939
517.94,1794
518.54,2009
518.52,1990
519.16,2260
519.78,2309
520.33,2285
520.94,2143
520.96,2131
521.57,2017
522.2,1801
522.76,1926
523.34,1788
523.98,1847
524.0,1772
524.58,1779
525.18,1859
525.8,1699
526.44,1757
526.44,1775
527.08,1725
527.65,1845
528.25,1713
528.87,1802
529.47,1813
529.48,1843
530.07,1800
530.66,1850
531.31,1818
531.93,1780
531.93,1863
532.54,1709
533.11,1809
533.77,1808
534.38,1840
534.91,1803
534.92,1870
535.5,1819
536.16,1811
536.78,1808
537.33,1823
537.91,1837
537.89,1749
538.58,1812
539.23,1844
539.77,1834
540.38,1767
540.38,1810
541.03,1877
541.66,1965
542.24,1869
542.79,1841
543.5,1860
543.48,1865
544.08,1886
544.71,1850
545.32,1898
545.93,1822
545.97,1895
546.58,1890
547.13,1976
547.73,1876
548.35,1899
548.98,1893
548.97,1953
549.54,1832
550.1,1850
550.76,1843
551.4,1820
551.39,1898
551.96,1958
552.52,1934
553.16,1872
553.81,2030
554.35,1877
554.35,1895
554.94,1808
555.57,1812
556.2,1839
556.74,1911
556.76,1829
557.31,1907
557.95,1860
558.59,1872
559.15,1823
559.74,1840
559.73,1888
560.35,1869
561.01,1918
561.59,1952
562.15,1880
562.15,1891
562.77,1780
563.39,1868
563.99,1780
564.58,2021
565.17,1820
565.2,1888
565.83,1842
566.4,1856
566.99,1936
567.59,1985
567.58,1816
568.22,1887
568.8,1845
569.37,1889
570.01,1864
570.61,1938
570.64,1905
571.24,1822
571.79,1873
572.41,1839
573.05,1991
573.02,1979
573.65,1915
574.21,1851
574.79,1827
575.48,1801
576.06,1908
576.04,1947
576.58,1853
577.22,1973
577.87,1896
578.46,1786
578.45,1999
578.99,1870
579.61,1907
580.29,1864
580.88,1894
581.43,1922
581.44,1947
582.01,1934
582.68,1961
583.31,1993
583.85,1976
584.45,1833
584.45,1988
585.13,1882
585.73,2066
586.26,1999
586.85,1969
586.85,1942
587.53,2051
588.13,1917
588.66,1895
589.25,1938
589.93,2007
589.92,1834
590.55,1869
591.08,2026
591.67,1916
592.33,1950
592.32,1933
592.94,1901
593.51,1904
594.08,2004
594.71,1892
595.36,1901
595.33,1897
595.9,1917
596.49,1903
597.09,1924
597.72,1884
597.74,1923
598.3,1967
598.89,1847
599.51,1983
600.12,1946
600.71,2000
600.72,1804
601.28,1908
601.92,1927
602.57,1979
603.1,1917
603.12,1773
603.67,1846
604.25,1937
604.89,1953
605.46,1901
606.0,1896
606.02,1867
606.64,1910
607.28,1948
607.85,1922
608.39,1918
608.36,1926
608.98,1980
609.63,1892
610.18,1852
610.72,1948
611.31,1864
611.31,2032
611.98,1828
612.59,1693
613.1,1754
613.72,1737
613.73,1845
614.36,1738
614.96,1760
615.54,1751
616.15,1697
616.84,1625
616.81,1648
617.41,1703
618.01,1592
618.63,1771
619.26,1685
619.27,1642
619.9,1616
620.5,1708
621.12,1612
621.76,1634
622.41,1663
622.42,1711
622.99,1635
623.59,1637
624.3,1657
624.86,1642
624.86,1644
625.42,1627
626.03,1593
626.66,1621
627.31,1664
627.84,1748
627.84,1634
628.45,1702
629.08,1687
629.69,1695
630.25,1739
630.85,1649
630.85,1717
631.47,1606
632.07,1636
632.66,1688
633.27,1651
633.26,1649
633.89,1681
634.48,1768
635.05,1726
635.66,1675
636.28,1677
636.27,1660
636.89,1658
637.48,1643
638.08,1727
638.71,1743
638.7,1750
639.31,1592
639.9,1846
640.49,1727
641.11,1716
641.73,1819
641.76,1552
642.3,1613
642.89,1729
643.54,1650
644.13,1619
644.14,1813
644.73,1617
645.3,1726
645.92,1735
646.55,1704
647.12,1688
647.13,1716
647.7,1729
648.33,1709
648.96,1645
649.54,1706
649.53,1607
650.12,1669
650.73,1599
651.34,1657
651.94,1632
652.51,1723
652.51,1691
653.14,1789
653.74,1776
654.31,1661
654.91,1685
654.89,1754
655.51,1723
656.16,1764
656.74,1675
657.33,1636
657.95,1706
657.96,1706
658.59,1717
659.18,1680
659.76,1735
660.35,1738
660.36,1651
660.99,1774
661.59,1752
662.18,1726
662.8,1636
663.41,1657
663.43,1634
664.0,1058
664.6,1158
665.21,1083
665.8,1098
665.78,1096
666.39,1065
666.99,1101
667.59,1083
668.19,1156
668.81,1116
668.79,1098
669.4,1020
670.01,1137
670.58,1129
671.2,1118
671.8,1154
671.8,1170
672.4,1106
672.99,1058
673.59,1025
674.21,1034
674.22,1023
674.83,1088
675.41,1092
676.03,1125
676.62,1091
677.24,1139
677.26,1173
677.84,1067
678.44,1202
679.07,1163
679.64,1055
679.65,1153
680.22,1097
680.84,1111
681.46,1032
682.12,1115
682.7,1202
682.7,1158
683.3,1083
683.91,1151
684.54,1136
685.14,1086
685.12,1122
685.71,1195
686.35,1136
686.95,1097
687.54,1148
688.17,1100
688.17,993
688.81,1154
689.42,1096
690.0,988
690.6,1107
690.61,1089
691.21,1078
691.8,1172
692.4,1179
692.97,1133
693.6,1077
693.61,1227
694.24,1105
694.87,1094
695.43,1154
696.06,1107
696.05,1061
696.71,1095
697.29,1080
697.86,1143
698.55,1016
699.14,1080
699.13,1112
699.74,1078
700.35,1106
700.99,1099
701.62,1054
701.63,1093
702.2,1153
702.81,1151
703.42,1104
703.99,1088
704.61,1138
704.62,1054
705.21,1109
705.82,977
706.42,1123
707.01,1108
707.03,1097
707.63,1110
708.21,1026
708.8,1143
709.41,1062
710.01,1082
710.03,1160
710.62,1098
711.19,1012
711.8,1088
712.43,1067
712.43,1141
713.01,1084
713.61,1115
714.23,1163
714.85,1116
715.42,1089
715.43,1177
716.03,1294
716.66,1197
717.23,1078
717.84,1078
718.43,1158
718.4,1080
719.03,1199
719.66,1111
720.26,1112
720.84,1125
720.86,1157
721.44,1163
722.08,1209
722.67,1129
723.25,1209
723.87,1137
723.88,1274
724.46,1179
725.08,1384
725.66,1126
726.26,1181
726.29,1307
726.88,1249
727.45,1220
728.09,1283
728.69,1235
729.25,1277
729.26,1285
729.86,1341
730.47,1302
731.07,1225
731.65,1273
731.63,1315
732.26,1375
732.88,1309
733.48,1210
734.0899999999999,1248
734.6700000000001,1238
734.6800000000001,1228
735.29,1208
735.9100000000001,1253
736.47,1198
737.1,1166
737.0899999999999,1158
737.7,1250
738.31,1203
738.9,1240
739.5,1292
740.14,1264
740.14,1212
740.73,1188
741.3399999999999,1172
741.9200000000001,1326
742.52,1145
742.52,1248
743.15,1173
